Synthetic,Actual,Similarity
timeseries_365.csv,timeseries_603.csv,-4.948586119288713
timeseries_149.csv,timeseries_983.csv,-2.2967431030368455
timeseries_1029.csv,timeseries_578.csv,-3.722442379810862
timeseries_1324.csv,timeseries_577.csv,-2.4409987316038904
timeseries_213.csv,timeseries_994.csv,-3.3556181635083897
timeseries_389.csv,timeseries_602.csv,-4.866849462408154
timeseries_545.csv,timeseries_583.csv,-3.0223808348999865
timeseries_474.csv,timeseries_966.csv,-2.9767190947180246
timeseries_62.csv,timeseries_571.csv,-2.229721262928071
timeseries_1138.csv,timeseries_996.csv,-4.407228694110661
timeseries_1359.csv,timeseries_589.csv,-2.460358320289361
timeseries_34.csv,timeseries_581.csv,-4.875278891433627
timeseries_132.csv,timeseries_579.csv,-4.150623112914773
timeseries_453.csv,timeseries_590.csv,-3.339685822283677
timeseries_376.csv,timeseries_572.csv,-3.826023498052323
timeseries_956.csv,timeseries_975.csv,-5.610298265082025
timeseries_943.csv,timeseries_959.csv,-4.030814959180074
timeseries_740.csv,timeseries_602.csv,-3.877666142345796
timeseries_670.csv,timeseries_955.csv,-3.1031731799165465
timeseries_529.csv,timeseries_601.csv,-4.141605455925221
timeseries_778.csv,timeseries_595.csv,-2.794089694441146
timeseries_1246.csv,timeseries_977.csv,-3.469120374600595
timeseries_1405.csv,timeseries_585.csv,-3.627660469219374
timeseries_4.csv,timeseries_602.csv,-6.00166250285676
timeseries_739.csv,timeseries_587.csv,-4.1037154892018375
timeseries_424.csv,timeseries_953.csv,-5.502423944152064
timeseries_1392.csv,timeseries_971.csv,-4.516124027756907
timeseries_814.csv,timeseries_573.csv,-3.5528889493084694
timeseries_190.csv,timeseries_955.csv,-3.1913590151783744
timeseries_401.csv,timeseries_982.csv,-2.8639731837777673
timeseries_222.csv,timeseries_575.csv,-3.039636242462157
timeseries_366.csv,timeseries_604.csv,-2.8566687024614996
timeseries_868.csv,timeseries_577.csv,-2.656099004998384
timeseries_1137.csv,timeseries_960.csv,-4.67724851291995
timeseries_1000.csv,timeseries_956.csv,-4.576989227253373
timeseries_711.csv,timeseries_584.csv,-2.426565493798517
timeseries_533.csv,timeseries_589.csv,-3.2495278674604604
timeseries_499.csv,timeseries_586.csv,-4.0889575091119585
timeseries_998.csv,timeseries_979.csv,-5.322931813041892
timeseries_823.csv,timeseries_579.csv,-4.047186808301795
timeseries_781.csv,timeseries_586.csv,-3.5652302520080363
timeseries_1231.csv,timeseries_594.csv,-3.797868444435249
timeseries_1257.csv,timeseries_578.csv,-2.7695301278605147
timeseries_308.csv,timeseries_1096.csv,-0.19370533034360182
timeseries_707.csv,timeseries_580.csv,-2.930909659305542
timeseries_979.csv,timeseries_954.csv,-4.651462624898468
timeseries_1453.csv,timeseries_347.csv,-1.0108577330666373
timeseries_264.csv,timeseries_568.csv,-3.6540190946281648
timeseries_1155.csv,timeseries_578.csv,-3.482236100685186
timeseries_13.csv,timeseries_89.csv,-0.9447605684207518
timeseries_1060.csv,timeseries_601.csv,-4.193909718933484
timeseries_958.csv,timeseries_586.csv,-4.689368988604584
timeseries_593.csv,timeseries_601.csv,-5.2422153172276476
timeseries_1262.csv,timeseries_573.csv,-3.5029585110130164
timeseries_464.csv,timeseries_582.csv,-3.7462009056423176
timeseries_1446.csv,timeseries_586.csv,-3.186584725398763
timeseries_1134.csv,timeseries_590.csv,-3.594409516393079
timeseries_1253.csv,timeseries_994.csv,-3.0874711218458684
timeseries_105.csv,timeseries_583.csv,-2.704580759250192
timeseries_579.csv,timeseries_413.csv,-0.797220888181777
timeseries_329.csv,timeseries_599.csv,-3.5111367084515646
timeseries_1127.csv,timeseries_997.csv,-5.081494419052669
timeseries_332.csv,timeseries_589.csv,-3.1058349002319856
timeseries_565.csv,timeseries_571.csv,-2.5322441499151984
timeseries_685.csv,timeseries_589.csv,-2.7135664385994485
timeseries_374.csv,timeseries_590.csv,-3.05266646359233
timeseries_878.csv,timeseries_960.csv,-4.04883832315567
timeseries_738.csv,timeseries_584.csv,-2.5598858976108567
timeseries_358.csv,timeseries_989.csv,-4.75653597903447
timeseries_1115.csv,timeseries_991.csv,-3.213604331472826
timeseries_494.csv,timeseries_584.csv,-2.947946475929523
timeseries_286.csv,timeseries_579.csv,-4.3225241037689175
timeseries_916.csv,timeseries_997.csv,-4.89266403418154
timeseries_1303.csv,timeseries_580.csv,-2.832606432130493
timeseries_833.csv,timeseries_578.csv,-2.9345121897827466
timeseries_939.csv,timeseries_966.csv,-3.3301015680890274
timeseries_193.csv,timeseries_953.csv,-4.7441255419972626
timeseries_641.csv,timeseries_584.csv,-2.731133795161455
timeseries_446.csv,timeseries_597.csv,-3.1462865019713364
timeseries_754.csv,timeseries_603.csv,-4.174845045891316
timeseries_975.csv,timeseries_593.csv,-3.6958943353452574
timeseries_94.csv,timeseries_603.csv,-4.039079060549774
timeseries_575.csv,timeseries_569.csv,-3.4541033794543496
timeseries_704.csv,timeseries_993.csv,-4.390782185079588
timeseries_1304.csv,timeseries_600.csv,-4.143283628387008
timeseries_134.csv,timeseries_596.csv,-4.65353058439064
timeseries_61.csv,timeseries_584.csv,-2.5423699010241116
timeseries_613.csv,timeseries_571.csv,-2.8747825064951043
timeseries_165.csv,timeseries_583.csv,-2.897072805525908
timeseries_1066.csv,timeseries_965.csv,-2.0864714614566644
timeseries_870.csv,timeseries_961.csv,-4.601155423893372
timeseries_381.csv,timeseries_956.csv,-4.083692652128196
timeseries_342.csv,timeseries_969.csv,-2.8446349341436132
timeseries_1110.csv,timeseries_583.csv,-3.543678464225895
timeseries_442.csv,timeseries_975.csv,-4.7463699776257755
timeseries_1169.csv,timeseries_593.csv,-3.752829285775033
timeseries_275.csv,timeseries_993.csv,-4.06560485719263
timeseries_337.csv,timeseries_586.csv,-3.9082009404406124
timeseries_649.csv,timeseries_568.csv,-3.773180807017817
timeseries_177.csv,timeseries_989.csv,-4.029077138427428
timeseries_293.csv,timeseries_587.csv,-4.949748230073833
timeseries_390.csv,timeseries_970.csv,-5.067153192124707
timeseries_630.csv,timeseries_956.csv,-3.43287788145809
timeseries_568.csv,timeseries_955.csv,-3.820229396995157
timeseries_692.csv,timeseries_591.csv,-2.7015182008707335
timeseries_1179.csv,timeseries_413.csv,-0.5184471013921963
timeseries_806.csv,timeseries_998.csv,-3.9111333218393094
timeseries_1202.csv,timeseries_998.csv,-3.3088964422816973
timeseries_1444.csv,timeseries_599.csv,-3.1289179825159144
timeseries_1040.csv,timeseries_982.csv,-3.2156500986147023
timeseries_463.csv,timeseries_969.csv,-3.316469256963914
timeseries_1181.csv,timeseries_103.csv,-0.04713354795092495
timeseries_403.csv,timeseries_596.csv,-5.706803504021778
timeseries_883.csv,timeseries_583.csv,-2.8876791729581335
timeseries_1256.csv,timeseries_956.csv,-3.5985864674287082
timeseries_509.csv,timeseries_419.csv,-5.151150002068833
timeseries_1005.csv,timeseries_1000.csv,-2.739533803651447
timeseries_1033.csv,timeseries_579.csv,-5.067738940744387
timeseries_512.csv,timeseries_957.csv,-4.14810409697481
timeseries_454.csv,timeseries_963.csv,-4.497601495245597
timeseries_1388.csv,timeseries_573.csv,-3.0272768477488015
timeseries_492.csv,timeseries_577.csv,-3.4174098156673676
timeseries_919.csv,timeseries_991.csv,-3.169765623207141
timeseries_892.csv,timeseries_113.csv,0.03317933518740346
timeseries_241.csv,timeseries_587.csv,-4.245022219816363
timeseries_261.csv,timeseries_594.csv,-4.315067032334374
timeseries_109.csv,timeseries_603.csv,-4.062425314887327
timeseries_1342.csv,timeseries_574.csv,-2.7545321697089524
timeseries_147.csv,timeseries_977.csv,-3.5226449148702628
timeseries_1254.csv,timeseries_578.csv,-2.736032975438425
timeseries_822.csv,timeseries_577.csv,-2.4408203064331113
timeseries_816.csv,timeseries_982.csv,-2.346453281024553
timeseries_71.csv,timeseries_953.csv,-4.846691118545947
timeseries_487.csv,timeseries_586.csv,-4.5800734395650915
timeseries_17.csv,timeseries_419.csv,-3.881328567362014
timeseries_1320.csv,timeseries_570.csv,-3.7476389319074697
timeseries_659.csv,timeseries_573.csv,-3.4470356648586655
timeseries_972.csv,timeseries_571.csv,-2.758180727847452
timeseries_735.csv,timeseries_968.csv,-3.677068305465543
timeseries_353.csv,timeseries_595.csv,-3.3878242371653036
timeseries_1171.csv,timeseries_973.csv,-3.588063629557465
timeseries_887.csv,timeseries_990.csv,-5.538970265133226
timeseries_468.csv,timeseries_580.csv,-3.391580823665765
timeseries_1050.csv,timeseries_973.csv,-3.5059867740412196
timeseries_1313.csv,timeseries_990.csv,-4.664260551658172
timeseries_1039.csv,timeseries_956.csv,-4.863535404232554
timeseries_1150.csv,timeseries_578.csv,-3.6964944327797022
timeseries_1322.csv,timeseries_585.csv,-3.2577999561238338
timeseries_693.csv,timeseries_963.csv,-3.6472597371245374
timeseries_966.csv,timeseries_968.csv,-4.95886112155726
timeseries_380.csv,timeseries_1000.csv,-2.5048861669283147
timeseries_898.csv,timeseries_599.csv,-3.604944201855951
timeseries_199.csv,timeseries_593.csv,-2.700189337154436
timeseries_1441.csv,timeseries_986.csv,-4.288984341428475
timeseries_644.csv,timeseries_602.csv,-3.8089239248978686
timeseries_787.csv,timeseries_601.csv,-3.398668699125304
timeseries_1352.csv,timeseries_989.csv,-3.6244870675974887
timeseries_652.csv,timeseries_603.csv,-4.414842217644278
timeseries_951.csv,timeseries_981.csv,-3.0779393324893185
timeseries_382.csv,timeseries_604.csv,-2.6648493357009264
timeseries_254.csv,timeseries_589.csv,-2.5795787570592634
timeseries_35.csv,timeseries_596.csv,-4.992089734168528
timeseries_851.csv,timeseries_998.csv,-3.8359899829681128
timeseries_1178.csv,timeseries_973.csv,-3.6429296598967067
timeseries_1071.csv,timeseries_972.csv,-3.528501566142203
timeseries_672.csv,timeseries_587.csv,-4.250255420900967
timeseries_889.csv,timeseries_543.csv,-0.6972557035952991
timeseries_18.csv,timeseries_581.csv,-4.831642996007803
timeseries_1010.csv,timeseries_973.csv,-3.536086224411844
timeseries_607.csv,timeseries_86.csv,-1.5223725873312564
timeseries_527.csv,timeseries_955.csv,-3.545824453334694
timeseries_343.csv,timeseries_584.csv,-2.911749919332589
timeseries_764.csv,timeseries_594.csv,-4.496505908573365
timeseries_457.csv,timeseries_991.csv,-2.856198431809975
timeseries_675.csv,timeseries_575.csv,-3.3431960891805312
timeseries_860.csv,timeseries_568.csv,-3.590783345050915
timeseries_260.csv,timeseries_571.csv,-2.122311520881965
timeseries_1309.csv,timeseries_957.csv,-3.178479243237093
timeseries_126.csv,timeseries_571.csv,-2.103426503091496
timeseries_398.csv,timeseries_998.csv,-4.473994771832162
timeseries_327.csv,timeseries_594.csv,-4.956744887362011
timeseries_107.csv,timeseries_584.csv,-2.6414717702303148
timeseries_6.csv,timeseries_587.csv,-5.2969865110660646
timeseries_24.csv,timeseries_960.csv,-4.133245450992191
timeseries_994.csv,timeseries_966.csv,-3.5244416375166168
timeseries_1329.csv,timeseries_571.csv,-1.6550384245097827
timeseries_46.csv,timeseries_573.csv,-3.5678250255156643
timeseries_1296.csv,timeseries_419.csv,-3.845401460457081
timeseries_1445.csv,timeseries_599.csv,-2.6669395022810107
timeseries_1154.csv,timeseries_966.csv,-3.388901874893599
timeseries_287.csv,timeseries_595.csv,-3.0088191699974427
timeseries_863.csv,timeseries_419.csv,-4.23664975735602
timeseries_600.csv,timeseries_419.csv,-4.980940363980327
timeseries_1165.csv,timeseries_982.csv,-3.0953143744206457
timeseries_467.csv,timeseries_568.csv,-4.198101382195706
timeseries_1192.csv,timeseries_419.csv,-3.7813057787692426
timeseries_756.csv,timeseries_578.csv,-2.6698565557185994
timeseries_157.csv,timeseries_953.csv,-4.408076727192265
timeseries_247.csv,timeseries_996.csv,-3.492148845367722
timeseries_1339.csv,timeseries_953.csv,-4.689832402058151
timeseries_768.csv,timeseries_601.csv,-3.723482825836868
timeseries_945.csv,timeseries_584.csv,-3.225606302647474
timeseries_517.csv,timeseries_600.csv,-5.06215014568953
timeseries_619.csv,timeseries_990.csv,-4.0044154741464455
timeseries_1213.csv,timeseries_984.csv,-2.530713632302781
timeseries_1326.csv,timeseries_997.csv,-3.7564546181890988
timeseries_1315.csv,timeseries_579.csv,-3.544356643147818
timeseries_21.csv,timeseries_587.csv,-4.059856965304188
timeseries_322.csv,timeseries_579.csv,-4.7199997406804854
timeseries_643.csv,timeseries_579.csv,-4.001922697720653
timeseries_310.csv,timeseries_89.csv,-0.27296783073446607
timeseries_1316.csv,timeseries_583.csv,-2.4526194096999463
timeseries_72.csv,timeseries_953.csv,-4.711324885572438
timeseries_462.csv,timeseries_583.csv,-3.0164179914670743
timeseries_941.csv,timeseries_591.csv,-3.348122391435467
timeseries_41.csv,timeseries_998.csv,-3.5874345235417096
timeseries_777.csv,timeseries_584.csv,-2.6097390086742505
timeseries_1173.csv,timeseries_996.csv,-4.58867118516942
timeseries_867.csv,timeseries_573.csv,-3.2065983605659616
timeseries_56.csv,timeseries_990.csv,-5.417913175099607
timeseries_1124.csv,timeseries_971.csv,-5.790079574531383
timeseries_1048.csv,timeseries_582.csv,-4.041879279715176
timeseries_1203.csv,timeseries_582.csv,-3.059155434696862
timeseries_139.csv,timeseries_585.csv,-3.8167542932851193
timeseries_595.csv,timeseries_583.csv,-3.0737225994453743
timeseries_1015.csv,timeseries_994.csv,-4.3287964183666325
timeseries_121.csv,timeseries_975.csv,-4.302383352566684
timeseries_201.csv,timeseries_994.csv,-3.3720500372368285
timeseries_1019.csv,timeseries_587.csv,-5.198097451688228
timeseries_305.csv,timeseries_996.csv,-4.392480066339846
timeseries_352.csv,timeseries_583.csv,-3.2762957752484905
timeseries_1402.csv,timeseries_579.csv,-3.7572034555106155
timeseries_847.csv,timeseries_982.csv,-2.4636765676996646
timeseries_1198.csv,timeseries_601.csv,-3.3529258225585146
timeseries_722.csv,timeseries_964.csv,-2.9081396997108295
timeseries_526.csv,timeseries_1000.csv,-2.2908672612732417
timeseries_1073.csv,timeseries_967.csv,-3.841413117677054
timeseries_14.csv,timeseries_962.csv,-2.5612438530858537
timeseries_962.csv,timeseries_589.csv,-3.4852832824218902
timeseries_850.csv,timeseries_963.csv,-3.8617856500740837
timeseries_910.csv,timeseries_1134.csv,-0.118281057600919
timeseries_466.csv,timeseries_581.csv,-5.904470877521945
timeseries_743.csv,timeseries_960.csv,-3.9641889095838403
timeseries_730.csv,timeseries_955.csv,-3.1960489198579056
timeseries_674.csv,timeseries_957.csv,-3.440357592674766
timeseries_304.csv,timeseries_584.csv,-3.2426545058437535
timeseries_284.csv,timeseries_953.csv,-4.674839305759373
timeseries_135.csv,timeseries_955.csv,-3.1976732894953974
timeseries_59.csv,timeseries_577.csv,-2.7131443487106406
timeseries_5.csv,timeseries_1096.csv,-0.3619873142327248
timeseries_1156.csv,timeseries_967.csv,-3.827981421657693
timeseries_570.csv,timeseries_580.csv,-3.44565136552042
timeseries_598.csv,timeseries_956.csv,-4.304449699775454
timeseries_993.csv,timeseries_994.csv,-4.426947198478073
timeseries_303.csv,timeseries_579.csv,-4.968412084235555
timeseries_1455.csv,timeseries_347.csv,-0.9069026173242491
timeseries_1223.csv,timeseries_599.csv,-2.8783911535372266
timeseries_1403.csv,timeseries_584.csv,-2.1575746215836036
timeseries_450.csv,timeseries_993.csv,-4.646651833381865
timeseries_1072.csv,timeseries_959.csv,-3.9564524788524107
timeseries_1458.csv,timeseries_1096.csv,-0.0002172182811430723
timeseries_827.csv,timeseries_953.csv,-5.146311921170618
timeseries_246.csv,timeseries_568.csv,-3.749966964580481
timeseries_1061.csv,timeseries_602.csv,-4.748788759640692
timeseries_793.csv,timeseries_988.csv,-3.791045342909137
timeseries_192.csv,timeseries_591.csv,-2.3572586908784086
timeseries_820.csv,timeseries_571.csv,-2.175700302853479
timeseries_1247.csv,timeseries_591.csv,-2.2959026250958594
timeseries_461.csv,timeseries_997.csv,-4.808895784132795
timeseries_890.csv,timeseries_996.csv,-4.644752815954565
timeseries_458.csv,timeseries_962.csv,-3.5676734710876845
timeseries_22.csv,timeseries_578.csv,-2.387697488349223
timeseries_1438.csv,timeseries_581.csv,-4.348168504191533
timeseries_1065.csv,timeseries_975.csv,-5.773428967362042
timeseries_1162.csv,timeseries_571.csv,-2.8164534080752395
timeseries_339.csv,timeseries_960.csv,-4.690525028828107
timeseries_1116.csv,timeseries_580.csv,-3.7381531704657345
timeseries_986.csv,timeseries_587.csv,-5.1422188461084435
timeseries_101.csv,timeseries_602.csv,-3.7634904433893333
timeseries_204.csv,timeseries_594.csv,-4.124422555152849
timeseries_88.csv,timeseries_953.csv,-4.6411416085770725
timeseries_1241.csv,timeseries_971.csv,-4.1985621027598885
timeseries_502.csv,timeseries_955.csv,-3.492782930354962
timeseries_799.csv,timeseries_597.csv,-2.7648447109181453
timeseries_1360.csv,timeseries_967.csv,-2.409422419682375
timeseries_548.csv,timeseries_956.csv,-4.732409523946884
timeseries_1172.csv,timeseries_998.csv,-4.297091820240556
timeseries_1330.csv,timeseries_575.csv,-2.9034480117110957
timeseries_379.csv,timeseries_963.csv,-4.6580600616081
timeseries_1421.csv,timeseries_587.csv,-3.6649516366910877
timeseries_1058.csv,timeseries_571.csv,-2.916261947123886
timeseries_653.csv,timeseries_581.csv,-4.71914254354784
timeseries_1102.csv,timeseries_969.csv,-3.7502372533679145
timeseries_553.csv,timeseries_957.csv,-3.9560475945039695
timeseries_301.csv,timeseries_994.csv,-4.407603158496245
timeseries_660.csv,timeseries_601.csv,-3.9368731150620455
timeseries_100.csv,timeseries_597.csv,-2.4571343285922618
timeseries_1301.csv,timeseries_588.csv,-2.786094145273062
timeseries_1353.csv,timeseries_594.csv,-3.8572968444737805
timeseries_1221.csv,timeseries_990.csv,-4.917516225398742
timeseries_1082.csv,timeseries_966.csv,-3.2434945450817283
timeseries_922.csv,timeseries_593.csv,-3.4894546284510266
timeseries_176.csv,timeseries_582.csv,-3.1918102577655976
timeseries_1408.csv,timeseries_580.csv,-2.353233635858742
timeseries_646.csv,timeseries_998.csv,-3.507933371150677
timeseries_344.csv,timeseries_596.csv,-5.652531183109146
timeseries_1287.csv,timeseries_593.csv,-2.589235786853299
timeseries_297.csv,timeseries_603.csv,-5.114304714937318
timeseries_832.csv,timeseries_571.csv,-2.212196032385972
timeseries_53.csv,timeseries_571.csv,-2.17838449737061
timeseries_765.csv,timeseries_960.csv,-4.081539925459396
timeseries_1348.csv,timeseries_570.csv,-3.613012401021744
timeseries_505.csv,timeseries_586.csv,-4.074969316190654
timeseries_170.csv,timeseries_955.csv,-3.2106444561337897
timeseries_113.csv,timeseries_998.csv,-3.7416627790319037
timeseries_92.csv,timeseries_993.csv,-4.082037455616124
timeseries_413.csv,timeseries_595.csv,-3.3267085082873553
timeseries_792.csv,timeseries_994.csv,-3.367644841675771
timeseries_431.csv,timeseries_571.csv,-2.6646471704949257
timeseries_68.csv,timeseries_975.csv,-4.126532951152294
timeseries_1028.csv,timeseries_958.csv,-2.666966719215044
timeseries_236.csv,timeseries_966.csv,-2.5828004063799606
